Ленина,1,101,1,30.0,18.0,1,5,Иванов,1000000.0
Пушкина,2,102,1,35.0,21.0,5,5,Петров,1200000.0
Гагарина,3,103,2,45.0,27.0,1,9,Сидоров,2000000.0
Советская,4,104,2,50.0,30.0,9,9,Кузнецов,2500000.0
Мира,5,105,3,65.0,39.0,3,12,Смирнов,3500000.0
Ленина,6,106,3,70.0,42.0,12,12,Иванов,4000000.0
Пушкина,7,107,4,85.0,51.0,5,16,Петров,5000000.0
Гагарина,8,108,5,100.0,60.0,10,20,Сидоров,6500000.0
Ленина,4,201,3,37.5,21.5,5,8,Сидоров,4674083.71
Ленина,8,202,4,97.2,61.8,19,19,Кузнецов,8288568.15
Мира,6,203,4,50.5,30.7,4,6,Кузнецов,7573152.1
Гагарина,5,204,3,87.4,60.5,14,23,Кузнецов,7418786.36
Ленина,9,205,3,53.6,30.1,14,22,Кузнецов,5751420.12
Советская,7,206,2,63.7,35.2,4,8,Сидоров,5042539.99
Гагарина,8,207,1,87.2,52.6,12,24,Сидоров,5755739.35
Гагарина,3,208,4,82.2,50.4,2,15,Иванов,8604818.38
Гагарина,4,209,4,41.0,22.0,4,15,Иванов,5505962.31
Пушкина,6,210,5,72.6,39.8,5,14,Иванов,8405821.37
Пушкина,5,211,3,70.6,49.0,4,17,Иванов,6222053.73
Пушкина,5,212,1,55.7,28.9,8,8,Смирнов,3797679.6
Гагарина,8,213,1,68.4,35.8,3,11,Петров,4333992.72
Ленина,8,214,4,70.0,35.4,11,15,Кузнецов,7175695.3
Мира,7,215,4,95.8,54.2,6,15,Иванов,8499524.14
Мира,1,216,3,57.5,31.5,2,6,Сидоров,6403664.49
Пушкина,8,217,1,97.9,51.9,4,16,Кузнецов,6396889.78
Ленина,10,218,2,37.4,21.0,10,16,Кузнецов,4205250.9
Ленина,9,219,2,82.4,45.9,6,15,Кузнецов,5895653.53
Гагарина,8,220,4,66.3,37.3,3,22,Кузнецов,7284002.23
Мира,8,221,5,71.8,49.6,11,17,Иванов,8423412.81
Гагарина,2,222,1,52.7,27.8,14,20,Иванов,3380783.39
Мира,5,223,3,73.5,50.8,3,11,Смирнов,6762462.2
Пушкина,1,224,1,99.0,59.2,10,15,Петров,5742653.37
Ленина,10,225,4,35.5,21.1,5,7,Кузнецов,6341904.28
Мира,9,226,5,48.5,29.3,10,16,Иванов,6734012.34
Гагарина,9,227,1,65.8,44.2,12,19,Смирнов,4587460.86
Ленина,8,228,1,84.4,48.5,11,14,Смирнов,5091496.57
Пушкина,8,229,5,65.2,45.6,7,25,Смирнов,8743247.17
Мира,1,230,4,78.0,47.6,5,20,Смирнов,8000721.54
Ленина,7,231,2,99.6,64.7,3,20,Кузнецов,6319950.1
Мира,9,232,5,80.3,51.1,9,13,Сидоров,9640330.42
Советская,6,233,3,97.6,61.1,23,23,Сидоров,7483599.0
Гагарина,9,234,5,79.3,52.2,7,15,Сидоров,8662229.25
Пушкина,6,235,4,85.2,54.6,3,22,Сидоров,8022257.31
Гагарина,3,236,5,79.9,41.4,18,19,Кузнецов,10477319.11
Мира,6,237,5,44.0,23.1,18,18,Петров,7175075.47
Гагарина,8,238,1,91.2,52.9,3,6,Смирнов,5337598.28
Гагарина,5,239,5,41.7,21.4,4,5,Смирнов,7063423.43
Ленина,5,240,1,38.0,19.6,12,17,Иванов,2793829.27
Советская,6,241,5,69.3,45.4,13,21,Смирнов,9278935.44
Ленина,10,242,5,73.4,36.8,9,11,Петров,10393187.36
